id,UNC210000095,UNC210000599,UNC210001275,UNC210001366,UNC210001613
JAXW202-2454,2.581,0.083,0.027,3.131,1.483
JAXW202-2462,2.67,0.062,0.006,3.199,1.424
JAXW202-2470,2.63,0.068,0.021,3.047,1.491
JAXW202-2478,2.494,0.076,0.033,3.149,1.544
JAXW202-2491,2.686,0.338,0.155,3.253,1.823
JAXW202-2507,2.655,0.323,0.163,3.406,1.933
JAXW202-2739,2.635,0.103,0.023,3.34,1.55
JAXW202-2733,2.611,0.053,0.011,3.239,1.373
JAXW202-2405,2.63,0.07,0.185,3.114,2.007
JAXW202-2455,2.537,0.075,0.009,3.223,1.299
JAXW202-2463,2.595,0.069,0.007,3.296,1.502
JAXW202-2471,2.679,0.092,0.024,3.224,1.513
JAXW202-2479,2.555,0.089,0.032,3.202,1.066
JAXW202-2492,2.762,0.376,0.15,3.219,1.914
JAXW202-2578,2.778,0.061,0.016,3.205,1.503
JAXW202-2740,2.627,0.09,0.024,3.34,1.473
JAXW202-2748,2.581,0.069,0.016,3.266,1.497
JAXW202-2734,2.9,0.076,0.013,3.229,1.406
JAXW202-2456,2.354,0.061,0.035,3.029,1.459
JAXW202-2464,2.322,0.073,0.028,2.865,1.419
JAXW202-2472,2.531,0.086,0.029,2.916,1.534
JAXW202-2480,2.333,0.061,0.011,3.19,1.593
JAXW202-2493,2.301,0.318,0.144,2.808,1.775
JAXW202-2501,2.375,0.05,0.154,2.904,1.814
JAXW202-2741,2.3,0.074,0.037,2.962,1.477
JAXW202-2749,2.465,0.067,0.029,3.07,1.561
JAXW202-2735,2.807,0.074,0.018,3.31,1.508
JAXW202-2449,2.489,0.069,0.038,3.057,1.434
JAXW202-2457,2.661,0.075,0.021,3.123,1.513
JAXW202-2465,2.577,0.084,0.02,3.198,1.622
JAXW202-2473,2.568,0.039,0.02,3.387,1.434
JAXW202-2481,2.659,0.055,0.03,3.437,1.344
JAXW202-2494,2.445,0.348,0.153,3.064,1.837
JAXW202-2580,2.552,0.059,0.022,3.168,1.412
JAXW202-2742,2.586,0.077,0.033,3.224,1.465
JAXW202-2753,3.011,0.068,0.026,3.632,1.534
JAXW202-3015,3.025,0.251,0.166,3.582,1.524
JAXW202-3032,2.875,0.228,0.164,3.369,1.437
JAXW202-3040,2.937,0.207,0.146,3.641,1.278
JAXW202-3099,2.958,0.085,0.04,3.618,1.405
JAXW202-3107,2.768,0.082,0.033,3.582,1.365
JAXW202-3115,2.644,0.094,0.041,3.401,1.365
JAXW202-3123,2.683,0.078,0.041,3.299,1.368
JAXW202-3131,3.042,0.043,0.023,3.598,1.424
JAXW202-2568,2.735,0.087,0.208,3.666,1.566
JAXW202-3008,2.947,0.229,0.147,3.884,1.614
JAXW202-3016,3.087,0.204,0.13,3.75,1.317
